,사업장명,업태구분명,상세영업상태명,도로명전체주소,진료과목내용명,소재지전화,병상수,의료인수,입원실수,총면적_scaler,경도,위도
17721,노원을지대학교병원,종합병원,영업중,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과",02-970-8000,546,741,123,0.1175493955245661,127.06703507456,37.63646108332606
17720,인제대학교 상계백병원,종합병원,영업중,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과",02-950-1114,541,962,135,0.0757585459886846,127.0600940228098,37.64866645145729
17719,한국원자력의학원원자력병원,종합병원,영업중,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과",02-970-2114,479,616,162,0.1775031640814298,127.08202446293242,37.63332388801331
17723,더조은요양병원,요양병원(일반요양병원),영업중,서울특별시 노원구 화랑로 323 (월계동),"내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과",02-941-7800,299,65,58,0.0100110577281004,127.06073802059434,37.61487153712163
17713,그레이스힐 요양병원,요양병원(일반요양병원),영업중,"서울특별시 노원구 노원로 461, 대감프라자빌딩 3,4,5,6층 (상계동)","내과, 신경과, 외과, 정형외과, 신경외과, 피부과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과",02-934-1300,220,15,41,0.0062413635763643,127.06285621087692,37.65748369004036
17732,의선의료재단 선한이웃병원,병원,직권폐업,"서울특별시 노원구 화랑로 323 (월계동,,30호)","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과",914-2000,173,48,42,0.0145428170669935,127.06073802059434,37.61487153712163
17724,의료법인 행복나눔의료재단 사랑요양병원,요양병원(일반요양병원),영업중,"서울특별시 노원구 동일로243길 45 (상계동, 사랑요양병원)","내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과",02-933-1114,171,27,33,0.0053263811084127,127.04957098004463,37.67842501120332
17728,노원솔요양병원,요양병원(일반요양병원),영업중,"서울특별시 노원구 덕릉로 690, 기업은행 2,3,4,5층 (중계동)","내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",932-0036,149,29,28,0.0036613183680236,127.07287928402349,37.65917275001162
17715,선의요양병원,요양병원(일반요양병원),영업중,"서울특별시 노원구 동일로 1419, 9층~11층 (상계동)","내과, 신경과, 외과, 재활의학과, 가정의학과, 한방내과",02-3391-3992~3,135,22,27,0.0027599468169409,127.05696096104204,37.65530666575815
17729,희망요양병원,요양병원(일반요양병원),영업중,서울특별시 노원구 상계로26길 7 (상계동),"내과, 외과, 정형외과, 재활의학과",936-9966,87,9,22,0.0019060033734977,127.06799436812706,37.65822715430462
